phase,flux
0.250146952660519,1.016716800466373
0.251297722043479,0.9917449552314128
0.2539554312746658,0.9817479430199816
0.2542846437455536,0.939290651618398
0.2549761042653854,0.9700631337839558
0.2602103478742249,0.9763375665826421
0.26142285587812764,0.9541134102819782
0.2659050436541476,0.9664958643142114
0.2665043174612093,0.9917449552314128
0.26929621492316314,0.9963226419544164
0.26963908691350424,0.9558725718846887
0.2786710379736418,0.9853715068586169
0.2836098267786197,0.9781377043229852
0.2836959960820208,0.98265258282953
0.2837348083728882,0.9908319448927662
0.2872513222806431,0.9736435697988864
0.29461939945413873,0.9790390174480484
0.29722866853923746,0.96738644996895
0.2980062983623567,0.9246981739382218
0.29863993157726,0.9664958643142114
0.3014912208704287,0.9567533686182396
0.3041109000739267,0.9808441360309055
0.3077245349700958,0.9880979539411258
0.311932449223424,0.9558725718846887
0.31518479885639705,0.9926588068710284
0.3168766536969697,0.9332543007969886
0.31817743709747914,0.9358365435835276
0.32230140848902933,0.9908319448927662
0.3240523542904056,0.9754387404402989
0.3254597661864024,0.9656060985415496
0.3313021291941324,0.968277856261249
0.3330851477879163,0.9899197750805815
0.3402724619815741,0.9844643639803757
0.3427396600296403,0.9349750030886
0.3439341158051731,0.9790390174480484
0.3507738042549887,0.9585173976856433
0.3537021163891195,0.9638290236239682
0.354221418824484,0.998159627491722
0.354950367805135,0.9781377043229852
0.3555613755605874,0.9862794856312099
0.3713438370625012,0.9594006315159316
0.3733713430022091,0.9817479430199816
0.37609831261609783,0.9602846792093808
0.37650520984305,0.9871883010683936
0.37700050281471376,0.9917449552314128
0.37864668551764125,1.0092528860766825
0.37868068388097653,0.9620552191862133
0.3804803706988663,0.9736435697988864
0.3823709203994282,0.9954054173515247
0.38798209453630206,0.9647171518961664
0.40483565492006746,0.9709570065288244
0.409357196553931,0.9899197750805815
0.412514591465755,0.9620552191862133
0.4145136952328313,0.9736435697988864
0.4232025336062192,0.9611695415159286
0.426109844981316,0.9629417129715555
0.4439511029521027,0.9620552191862133
0.4469602288950695,0.9745407417663045
0.453961665310875,0.9862794856312099
0.4550369763793368,0.9790390174480484
0.45677023099687075,1.0
0.4588966631478867,0.9462371613657911
0.4605149852450451,0.9656060985415496
0.4624818958715521,0.894540483778867
0.46250506289792226,0.8986694950475236
0.4658101852116415,0.8410077540692313
0.46623483379646713,0.8677607449911465
0.46915129163389635,0.7613774324561491
0.47417817531331663,0.6873849195903231
0.4834635194853588,0.7059923578936671
0.4835094924934721,0.5899293451041435
0.48658270384713787,0.6109420249055719
0.4910407016371222,0.6148936385126252
0.49561459473317326,0.6785783509504053
0.495901805686192,0.7345138681571144
0.497339424977565,0.7705485366297141
0.49898572802864705,0.7224370324363547
0.5044136118736345,0.9086570489581437
0.5069578327625989,0.9229963848404511
0.5124854852562392,0.9736435697988864
0.5190848985468405,0.9954054173515247
0.5199548956049013,0.9926588068710284
0.5206953378374989,0.9853715068586169
0.5245935360266186,0.9754387404402989
0.5274731071440796,0.9963226419544164
0.5279227881522784,0.9772372209558088
0.5300266550177538,0.9709570065288244
0.5315485782155817,0.9772372209558088
0.5355200082775197,0.9700631337839558
0.5379595262420948,0.9629417129715555
0.5416584278302038,0.952357486191919
0.5457022473279848,0.9763375665826421
0.5476547161717532,0.9844643639803757
0.5500777464344436,0.9853715068586169
0.5558157675624115,0.96738644996895
0.5687781701262408,1.01204541109654
0.570753625474144,0.9908319448927662
0.5729158010371874,0.9349750030886
0.5754098367314852,0.9926588068710284
0.5783539746524197,0.9349750030886
0.5795332665561445,0.939290651618398
0.5840311597708633,0.9718517029401669
0.5873665496540964,0.9790390174480484
0.5877522054257339,1.0009214583192938
0.5879226786353696,0.9772372209558088
0.5881317234396347,0.9817479430199816
0.6034047510577208,0.9541134102819782
0.6036530293715329,0.9709570065288244
0.6047799698130417,1.0
0.6159282437763706,0.9908319448927662
0.6168846508341131,0.98265258282953
0.6218850579118579,0.9629417129715555
0.6255816728843128,0.9727472237769641
0.6256111581906408,0.98265258282953
0.6265664219406132,0.9772372209558088
0.626662038576758,0.9700631337839558
0.6276631549867245,0.9871883010683936
0.6398505152135853,0.9917449552314128
0.6401847221344253,1.0
